,GameId,Team,Home,Score,AST,TOV,STL,BLK,Rebounds,ORB,DRB,FGA,FGM,3FGM,3FGA,FTA,FTM,Fouls,Win,FGP,3FGP,FTP,Score_Margin,AST_Margin,TOV_Margin,STL_Margin,BLK_Margin,Rebounds_Margin,ORB_Margin,DRB_Margin,Fouls_Margin,FGP_Margin,3FGP_Margin,FTP_Margin,Neutral_Indicator
0,1,Virginia Tech Hokies,1,81,19,7,5,1,24,2,22,55,33,11,18,5,4,13,1,0.6,0.611111111,0.8,15,6,-4,3,-4,-6,-11,5,3,0.189285714,0.22875817,0.261538462,0
1,1,Notre Dame Fighting Irish,0,66,13,11,2,5,30,13,17,56,23,13,34,13,7,10,0,0.410714286,0.382352941,0.538461538,-15,-6,4,-3,4,6,11,-5,-3,-0.189285714,-0.22875817,-0.261538462,0
2,2,North Carolina State Wolfpack,0,87,17,16,4,3,50,17,33,68,31,11,30,18,14,23,1,0.455882353,0.366666667,0.777777778,5,5,9,-3,2,23,8,15,9,-0.003134041,-0.033333333,0.22605364,0
3,2,Miami (FL) Hurricanes,1,82,12,7,7,1,27,9,18,61,28,10,25,29,16,14,0,0.459016393,0.4,0.551724138,-5,-5,-9,3,-2,-23,-8,-15,-9,0.003134041,0.033333333,-0.22605364,0
4,3,Duke Blue Devils,1,87,16,12,13,6,39,12,27,67,32,7,23,21,16,15,1,0.47761194,0.304347826,0.761904762,19,2,-4,7,4,4,3,1,-1,0.049040512,-0.095652174,0.095238095,0
5,3,Clemson Tigers,0,68,14,16,6,2,35,9,26,63,27,6,15,12,8,16,0,0.428571429,0.4,0.666666667,-19,-2,4,-7,-4,-4,-3,-1,1,-0.049040512,0.095652174,-0.095238095,0
6,4,Virginia Tech Hokies,1,77,13,11,5,2,31,8,23,54,25,6,22,25,21,18,1,0.462962963,0.272727273,0.84,11,3,-1,1,0,6,3,3,-4,0.06712963,-0.023569024,0.04,0
7,4,Boston College Eagles,0,66,10,12,4,2,25,5,20,48,19,8,27,25,20,22,0,0.395833333,0.296296296,0.8,-11,-3,1,-1,0,-6,-3,-3,4,-0.06712963,0.023569024,-0.04,0
8,5,Notre Dame Fighting Irish,1,62,16,10,3,7,35,9,26,58,20,11,33,17,11,12,0,0.344827586,0.333333333,0.647058824,-10,5,1,-1,4,-8,-4,-4,-3,-0.06693712,-0.08045977,-0.152941176,0
9,5,Syracuse Orange,0,72,11,9,4,3,43,13,30,68,28,12,29,5,4,15,1,0.411764706,0.413793103,0.8,10,-5,-1,1,-4,8,4,4,3,0.06693712,0.08045977,0.152941176,0
10,6,North Carolina Tar Heels,0,85,24,11,8,7,49,16,33,74,32,10,24,17,11,24,1,0.432432432,0.416666667,0.647058824,25,17,-4,1,0,12,5,7,5,0.12598082,0.311403509,0.022058824,0
11,6,Pittsburgh Panthers,1,60,7,15,7,7,37,11,26,62,19,2,19,32,20,19,0,0.306451613,0.105263158,0.625,-25,-17,4,-1,0,-12,-5,-7,-5,-0.12598082,-0.311403509,-0.022058824,0
12,7,Wake Forest Demon Deacons,0,79,10,13,6,2,28,11,17,68,27,9,22,22,16,23,0,0.397058824,0.409090909,0.727272727,-13,-10,1,-5,-6,1,6,-5,4,-0.160633484,0.109090909,-0.096256684,0
